country,Code,Year,users,users2020,broadband,mobile
Afghanistan,AFG,2020,18.39999962,0.183999996,8.26,7.27
Albania,ALB,2020,72.23999786,0.722399979,45.55,61.56
Algeria,DZA,2020,62.90000153,0.629000015,10.43,18.1
Angola,AGO,2020,36,0.36,14.86,25.87
Argentina,ARG,2020,85.5,0.855,58.87,29.77
Armenia,ARM,2020,76.51000214,0.765100021,38.95,34.53
Australia,AUS,2020,89.59999847,0.895999985,82.73,135.3
Austria,AUT,2020,87.52942657,0.875294266,94.31,71.81
Azerbaijan,AZE,2020,84.59999847,0.845999985,25.1,40.69
Bahamas,BHS,2020,87,0.87,61.75,
Bahrain,BHR,2020,99.66999817,0.996699982,73.95,86.04
Bangladesh,BGD,2020,24.79999924,0.247999992,40.31,13.43
Belarus,BLR,2020,85.08999634,0.850899963,69.41,19.41
Belgium,BEL,2020,91.52641296,0.91526413,125.12,69.76
Benin,BEN,2020,25.79999924,0.257999992,16.23,
Bhutan,BTN,2020,53.5,0.535,24.76,
Bolivia,BOL,2020,59.94010162,0.599401016,27.8,22.57
Bosnia and Herzegovina,BIH,2020,73.20999908,0.732099991,48.51,36.61
Botswana,BWA,2020,64,0.64,11.21,
Brazil,BRA,2020,81.34269714,0.813426971,113.09,33.92
Brunei,BRN,2020,95,0.95,34.59,67.32
Bulgaria,BGR,2020,70.16000366,0.701600037,86.75,142.27
Burkina Faso,BFA,2020,22,0.22,25.54,
Burundi,BDI,2020,9.399999619,0.093999996,11.18,
Cameroon,CMR,2020,37.79999924,0.377999992,28.32,23.75
Canada,CAN,2020,96.97000122,0.969700012,183.81,95.78
Cape Verde,CPV,2020,64.5,0.645,26.94,
Central African Republic,CAF,2020,10.39999962,0.103999996,,
Chad,TCD,2020,10.39999962,0.103999996,,
Chile,CHL,2020,88.30000305,0.883000031,217.6,21.23
China,CHN,2020,70.40477753,0.704047775,196.57,165.38
Colombia,COL,2020,69.79000092,0.697900009,72.19,18.33
Costa Rica,CRI,2020,80.53018951,0.805301895,56.39,34.01
Croatia,HRV,2020,78.32093048,0.783209305,69.09,114.76
Cuba,CUB,2020,74,0.74,4.01,25.02
Cyprus,CYP,2020,90.80194855,0.908019485,55.11,144.64
Czechia,CZE,2020,81.33889771,0.813388977,,
Democratic Republic of Congo,COD,2020,13.60000038,0.136000004,,
Denmark,DNK,2020,96.54914856,0.965491486,227.91,112.03
Djibouti,DJI,2020,59,0.59,18.27,
Dominican Republic,DOM,2020,76.90000153,0.769000015,34.9,
East Asia and Pacific,,2020,69.21808624,0.692180862,32.26,31.45
Ecuador,ECU,2020,64.59999847,0.645999985,39.07,24.62
Egypt,EGY,2020,71.91419983,0.719141998,39.97,24.95
El Salvador,SLV,2020,54.60137177,0.546013718,27.04,26.85
Estonia,EST,2020,89.05828857,0.890582886,7.95,
Ethiopia,ETH,2020,24,0.24,88.49,75.29
Europe and Central Asia,,2020,83.88905334,0.838890533,14.17,26.17
European Union,,2020,84.74347687,0.847434769,20.76,28.51
Finland,FIN,2020,92.16999817,0.921699982,135.05,88.23
France,FRA,2020,84.80000305,0.848000031,214.04,86.51
Gabon,GAB,2020,62,0.62,22.5,
Gambia,GMB,2020,36.5,0.365,12.24,
Georgia,GEO,2020,72.53158569,0.725315857,28.61,39.84
Germany,DEU,2020,89.8129425,0.898129425,136.66,83.06
Ghana,GHA,2020,58,0.58,52.1,12.9
Greece,GRC,2020,78.11584473,0.781158447,39.08,92.54
Grenada,GRD,2020,56.90000153,0.569000015,57.07,
Guatemala,GTM,2020,49.97000122,0.499700012,23.72,29.69
Guinea,GIN,2020,26,0.26,8.84,
Guinea-Bissau,GNB,2020,22.89999962,0.228999996,65.93,
